Include,Block,Lot,Qual,Address,Class,Bldg,Type,Design,VCS,Zoning,Location,Special Region,Category,Sale Date,$ Sale Price,Acres,$/Acre,Package,Notes
Y,1000,33,00,GRANT CONCOURSE,1,10,,,PNWD,R400  ,,Normal,landlocked,2025-02-24,"$4,000",0.11,"$36,364",N,LAND LOCKED NON CONFORMING
Y,1004,9,00,GRANT CONCOURSE,1,10,,,PNWD,R150,,Normal,building_lot,2022-03-14,"$27,500",0.65,"$42,308",N,CONFORMING LOT BETWEEN TWO HOUSES
Y,1005,12.01,,20 GRANT CONCOURSE,1,10,,,PNWD,R150,,Normal,building_lot,2021-06-30,"$30,000",0.43,"$69,767",N,CONFORMING LOT ON STREET NEXT TO HOUSE
Y,1006,1,,MORRIS AVE,1,10,,,PNWD,R150,,Normal,landlocked,2023-07-01,"$20,000",0.92,"$21,739",N,LAND LOCKED REAR LOT
N,1007,1,00,890 ROUTE 9,1,10,,,COMM,R150,,Normal,commercial_land,2026-05-18,"$165,000",0.8,"$206,250",N,ON BUSY RD NEXT TO COMM
Y,1008,6,00,GRANT CONCOURSE,1,10,,,PNWD,R400  ,,Normal,landlocked,2022-05-27,"$8,000",0.22,"$36,364",N,LAND LOCKED POSSIBLE DIRT RD TO LOT
N,1014,26.01,07,9 HALIFAX RD,2,37,30,08,CCTH,CNC,,Normal,pre-construction,2024-12-13,"$414,990",0,,N,SALE OF NEW CONSTRUCTION
N,1014,26.01,07,11 HALIFAX RD,2,37,30,08,CCTH,CNC,,Normal,pre-construction,2024-12-06,"$419,990",0,,N,SALE OF NEW CONSTRUCTION
N,1014,26.01,07,13 HALIFAX RD,2,37,30,08,CCTH,CNC,,Normal,pre-construction,2024-11-20,"$424,990",0,,N,SALE OF NEW CONSTRUCTION
N,1014,26.01,07,15 HALIFAX RD,2,37,30,08,CCTH,CNC,,Normal,pre-construction,2024-12-04,"$414,990",0,,N,SALE OF NEW CONSTRUCTION
N,1014,26.01,07,17 HALIFAX RD,2,37,30,08,CCTH,CNC,,Normal,pre-construction,2024-12-26,"$469,990",0,,N,SALE OF NEW CONSTRUCTION
N,1014,26.01,07,19 HALIFAX RD,2,37,30,09,CCTH,CNC,,Normal,pre-construction,2025-01-31,"$480,000",0,,N,SALE OF NEW CONSTRUCTION
